"Company","Leader name","Domain","1) Company Enrich - Linkedin","1) Company Enrich - Employee Range","1) Company Enrich - Description","2) Company Type (2)","2) Company Type - response","3) Company Revenue Model(s)","3) Company Revenue Model(s) - response","4) Company Revenue","4) Enrich Church - Lead Pastor Name","4) Enrich Church - Member Count","4) Enrich Church - Church Denomination","4) Enrich Church - Physical Location Count","Facebook (Company)","Instagram (Company)","7) Instagram Followers","8) Company's media involvement","ENR - Audio Distribution Channels","Audio distribution channel names","audio distribution channel types","Find cumulative ad spend for a company","Sumadspend - Advertisers","Apple Podcast Link","Apple Podcast Link apple Podcast Url","Apple podcast - Avg Uploads (6 Months)","Company Tech Stack","11) Podcast Audience Metrics","Competitive Solutions in Use","Competitive Solutions in Use - response"
"HeartStone Network","Sondra Martin Hicks","heartstonenetwork.com",,,,"Response","Media Ministry","Donations, One-time sales","Donations, One-time sales","$0-$1M",,,,,,"https://www.instagram.com/heartstonenetwork/","349","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/the-sondra-heartstone-show/...","Apple Podcasts, Buzzsprout, Spotify, Youtube, Youtube, Heartstone Network Website, Heartstone Network Website, Heartstone Network App, Heartstone Network App","Podcast Directory, Streaming Platform, Other, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-sondra-heartstone-show/id1592377780","https://podcasts.apple.com/us/podcast/the-sondra-heartstone-show/id1592377780","0.5","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","[{""matchedCompany"": ""None found""}]"
"Helen Pensanti MD","Dr. Helen Pensanti","askdrhelen.com",,,,"Response","Other","Transactional, Fee-for-service","Transactional, Fee-for-service",,,,,,,"https://www.instagram.com/askdrhelen/","981","TV, Radio","{""name"":""YouTube"",""url"":""https://www.youtube.com/playlist?list=PL6pOBCLqv3D4Ju_g_X7UkYfApbRO33xOL...","Youtube, Siriusxm","Streaming Platform, Satellite Radio","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No customer relationships were found between Helen Pensanti MD and any of the specified companies."
"Help The Persecuted","Help the Persecuted","htp.org",,,,"Response","Nonprofit","Donations, Noncash donations","Donations, Noncash donations","$1M - $5M",,,,,,,,"Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/prisoners-of-hope/id1671369...","Apple Podcasts, Spotify, Amazon Music, Pandora, Iheart Radio, Listennotes, Rss Feed, Youtube","Podcast Directory, Streaming Platform, Other","✅ Spend data found for htp.org",177.85081412643194,"https://podcasts.apple.com/us/podcast/prisoners-of-hope/id1671369263","https://podcasts.apple.com/us/podcast/prisoners-of-hope/id1671369263","2.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit, authoritative public evidence was found that Help The Persecuted (htp.org) is a customer, user, or documented partner of any of the companies listed in the query. Therefore, the list of matched companies is 'None found'."
"High Impact Living","Rick McDaniel","rickmcdaniel.com",,,,"Response","Parachurch organization","Transactional, Donations","Transactional, Donations","$10M-$50M",,,,,,"https://www.instagram.com/rickmcdaniel_official/","1018","Radio","{""name"":""Simplecast"",""url"":""https://point-of-impact.simplecast.com/"",""frequency"":null,""marketCity...","Simplecast, Apple Podcasts, Spotify, Youtube, Pray Com, Pray Com, Pray App, Pray Radio","Podcast Directory, Streaming Platform, Mobile App, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/point-of-impact/id1464163303","https://podcasts.apple.com/us/podcast/point-of-impact/id1464163303","0.8","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/organizations/11095490-4325-45...","High Impact Living (via Rick McDaniel) has a presence on bible.com (YouVersion). No other listed companies produced explicit evidence of a customer/partner relationship with High Impact Living in the pages searched. The matched company is bible.com (YouVersion presence for Rick McDaniel/High Impact Living)."
"Hope Christian Church","Michele Jackson","thehopeconnection.org",,,,"Response","Church","Donations (one-time & recurring), Event ticketing/registration, Sponsorships","Donations (one-time & recurring), Event ticketing/registration, Sponsorships","$5M - $10M",,,,,"http://www.facebook.com/GrowWithHope","https://www.instagram.com/the_hope_connection/","50","Radio and TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/the-hope-connection/id10848...","Apple Podcasts, Apple Podcasts, Wava, Youtube","Podcast Directory, Radio Station, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-hope-connection/id1084879278","https://podcasts.apple.com/us/podcast/the-hope-connection/id1084879278","0","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://thehopeconnection.org/angeltreechristmasbe...","Hope Christian Church (thehopeconnection.org) is a customer/user of pushpay.com. This is evidenced by the church's website, which links to Pushpay for online giving and instructs donors to use PushPay for specific programs like ""Angel Tree"" or ""Christmas Bells"". No explicit evidence was found linking Hope Christian Church to any other companies on the provided list."
"Hope For The Heart","Hope for the Heart","hopefortheheart.org","https://www.linkedin.com/company/hope-for-the-heart","51-200 employees","At Hope for the Heart, hope gets real. We know life can feel like a series of challenges. But finding help shouldn’t be. Find clear answers and practical guidance for real-life issues with Hope for the Heart’s simple, easy-to-use resources, professionally informed, and rooted in God’s Word today!","Response","Media Ministry","Donations/Grants, Product Sales (e-commerce), Program Service Fees, Investment Income/Royalties","Donations/Grants, Product Sales (e-commerce), Program Service Fees, Investment Income/Royalties","$10M - $25M",,,,,"https://facebook.com/hopefortheheart","https://www.instagram.com/hopefortheheart/","7606","Radio","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/7KHRdUQ1HhDF48o5WYgQ0W"",""frequency"":null,""...","Spotify, Youtube, Tunein, Sermonaudio, Hope For The Heart Website Program Listing, Whcf, Wmca","Streaming Platform, Online Radio, Podcast Directory, Other, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/hope-for-the-heart/id1553633088","https://podcasts.apple.com/us/podcast/hope-for-the-heart/id1553633088","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I did not find any authoritative, explicit evidence that Hope For The Heart (hopefortheheart.org) is a customer/user/partner of any company in the provided list. The search included the target site hopefortheheart.org, where no explicit customer relationships with the listed vendors were found. Vendor sites like bible.com (YouVersion / Bible App) showed content related to ""Peace for Your Mind, Hope for Your Heart"" but did not explicitly identify Hope For The Heart as a customer or partner. Other vendor domains either did not mention Hope For The Heart or lacked explicit claims of a customer relationship."
"Ignite America","Barry Meguiar","igniteamerica.com","https://www.linkedin.com/company/revival-outside-the-walls","2-10 employees","Revival…Outside the Walls is a non-clergy/lay led ministry operating with great respect but outside the walls of the traditional church…to bring purpose and excitement into the daily lives of every follower of Jesus Christ. We provide free resources for churches and laypeople to help aid in the adventure and fun of sharing your faith. We need to change the view of Christians and start loving on people!

As the world falls apart and the end of time grows closer, it’s time to get excited about Heaven.  Before we know it, we’ll be standing in front of God at the beginning of forever.  In light of eternity, it’s a nano-second away.

Join with believers just like yourself in the ultimate team sport that is more fun and more rewarding than anything else in existence.

God's call to love Him and share Him with everyone under your influence has new urgency in these last days.","Response","Media Ministry","Donations / Non-profit funding","Donations / Non-profit funding","$5M - $10M",,,,,,"https://www.instagram.com/igniteamerica/","334","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/ignite-with-barry-meguiar/i...","Apple Podcasts, Spotify, Amazon Music, Youtube, Bott Radio Network, Life Changing Radio, Wljn Fm, Fuel Fm, Faith Radio, Rockdale Community Broadcasting Whju, The Point Of Faith, Wbnh Radio, Inspirational Family Radio, Montrose Broadcasting Corporation Wpel, Faith Radio Network, Intentional Living Radio","Podcast Directory, Streaming Platform, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/ignite-with-barry-meguiar/id1607406352","https://podcasts.apple.com/us/podcast/ignite-with-barry-meguiar/id1607406352","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No matches found — there is no explicit, public evidence that Ignite America (igniteamerica.com) is a customer, user, or partner of any company in the provided list."
"Infinity Concepts","Marilyn Hickey","infinityconcepts.com","https://www.linkedin.com/company/infinity-concepts","11-50 employees","At Infinity Concepts, we provide solutions that empower you to overcome your biggest challenges and achieve impactful results. As an award-winning, full-service brand communications agency, we combine expertise, creativity, and innovation to craft strategies that connect with your audience and amplify your message.

Since 2002, we have delivered customized solutions that drive growth for local, national, and international organizations—with a unique focus on reaching and engaging the Christian market. Whether you need to clarify your brand, inspire action, or engage faith-based communities, Infinity Concepts has the experience and passion to guide you every step of the way.

Our Core Solutions

Strategy: Branding • Consulting • Training • Research
We help clarify your brand and guide key decisions through consulting, training, and research.  

Fundraising: Acquisition • Cultivation • Communication • Retention • Partnership • Receipting • Mail Shop
We create donor-focused content and campaigns to acquire, cultivate, and retain supporters.  

Digital Marketing: Web • Social • Email • Display • Video • Remarketing
We deliver digital solutions that build lasting engagement through SEO, SEM, PPC, social media, email marketing, and more.

Public Relations: Press Releases • Media Relations • Crisis Communication • Reputation Management
We engineer PR strategies that manage media relations, publicity, interviews, crisis communications, and more—with clarity and confidence.

Media Services: Planning • Production • Placement • Optimization • Reporting
We provide integrated media solutions—from planning and production to buying and optimization—to expand your reach across platforms.
 
Creative Services: Messaging • Copywriting • Design
We develop high-impact creative tools that elevate your brand, inspire action, and deliver results—from websites and videos to print and direct mail.
 
 Based in Export, PA | Serving clients nationwide and globally
 Let’s connect and explore","Response","Agency","Project-based (one-time fees), Retainer (recurring service fees), Hourly/Consulting fees, Media-b...","Project-based (one-time fees), Retainer (recurring service fees), Hourly/Consulting fees, Media-buying commissions/markups, Performance-based (fundraising success fees/percentage)","$1M - $5M",,,,,"http://www.facebook.com/tr","https://www.instagram.com/infinityconceptsin/","292","Both","{""name"":""noResults"",""url"":null,""frequency"":null,""marketCity"":null,""channelType"":""other"",""showOrCh...","Noresults","Other","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""tct.tv"",""evidenceUrl"":""https://www.infinityconcepts.com/who-we-serve/"",""eviden...","I searched Infinity Concepts’ website (homepage, Who We Serve, Who We Are, and the site search for customer/client/partner/case study terms) and ran targeted searches on the listed companies’ domains for explicit mentions of Infinity Concepts or infinityconcepts.com. The Infinity Concepts “Who We Serve” page includes a logo wall that explicitly shows a TCT logo (image alt/title: ""tct logo""), under the heading ""Here are some of the organizations that have trusted their cause to Infinity Concepts."" No other listed companies were found on Infinity Concepts’ site or on the listed companies’ official sites/directories in the searches I ran. Final determination: Infinity Concepts (infinityconcepts.com) is explicitly shown as having TCT (tct.tv) on its client/logo wall. No explicit evidence was found for any other companies in the provided list. Matches: - tct.tv — evidenceUrl: https://www.infinityconcepts.com/who-we-serve/ — evidenceSnippet: ""Here are some of the organizations that have trusted their cause to Infinity Concepts."" and image alt/title ""tct logo"". I used the Infinity Concepts site pages (Who We Serve, Who We Are, homepage) and broad site searches plus targeted site:domain searches on the listed companies’ domains; only the Who We Serve page provided an explicit logo linking Infinity Concepts to TCT."
"Inspire Church","Mike Kai","inspirechurch.live","https://www.linkedin.com/company/inspirechurch","11-50 employees","Inspire Church celebrates 20 years serving communities across Hawai'i and around the world. Senior Pastors Mike and Lisa Kai's vision to inspire people to fulfill their God-given potential has helped grow the church to 3 locations in Hawai'i, one in Metro Manila, and an online community spanning over 100 countries all around the world. Learn more about Inspire Church at www.inspirechurch.live","Response","Church","Donations, Tithes","Donations, Tithes","$1M - $5M","Mike Kai",,,6,"facebook.com/inspirechurchtv","https://www.instagram.com/inspirechurchtv/","19900","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/inspire-church/id680470361""...","Apple Podcasts, Spotify, Amazon Music, Youtube, Tunein, 99 5 The Word, Oneplace","Podcast Directory, Streaming Platform, Online Radio, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/inspire-church/id680470361","https://podcasts.apple.com/us/podcast/inspire-church/id680470361","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/pa/organizations/55d8c83e-9f08...","Inspire Church is a customer or user of bible.com, youversion.com, and rightnowmedia.org. No explicit evidence was found for the other listed companies."
"Institute for Creation Research","Institute for Creation Research","icr.org","https://www.linkedin.com/company/institute-for-creation-research","51-200 employees","At the Institute for Creation Research, we want you to know God’s Word can be trusted with everything it speaks about—from how and why we were made, to how the universe was formed, to how we can know God and receive all He has planned for us.

That’s why ICR scientists have spent more than 50 years researching scientific evidence that refutes evolutionary philosophy and confirms the Bible’s account of a recent and special creation. We regularly receive testimonies from around the world about how ICR’s cutting-edge work has impacted thousands of people with God’s creation truth.","Response","Parachurch organization","Donations, Product sales (retail/e-commerce), Tuition/educational fees, Subscriptions, Investment...","Donations, Product sales (retail/e-commerce), Tuition/educational fees, Subscriptions, Investment & royalties","$10M - $25M",,,,,"facebook.com/icrscience","https://www.instagram.com/icrdiscovery/","8011","Radio","{""name"":""Apple Podcasts"",""url"":""https://itunes.apple.com/us/podcast/the-creation-podcast/id143022...","Apple Podcasts, Spotify, Youtube Playlist, Amazon Music, Icr Rss Creation Podcast Xml, Apple Podcasts, Spotify, Youtube Playlist, Amazon Music, Icr Rss Creation Live Podcast Xml, Apple Podcasts, Spotify, Youtube Channel, Amazon Music, Icr Rss Daysofpraise Podcast Xml, Apple Podcasts, Spotify, Youtube Music Playlist, Amazon Music, Icr Rss Podcast Xml, Ksos, Ksva, Wpcs, Wyfg, Kgrd, Kgrd, Kgrd, Kjbb, Kvcf, Kvcx, Kvcx, Kvfl","Podcast Directory, Streaming Platform, Other, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-creation-podcast/id1430220535","https://podcasts.apple.com/us/podcast/the-creation-podcast/id1430220535","1.3","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://www.icr.org/donate"",""evidenceSnippet"":""We ...","I identified one match — pushpay.com — with authoritative evidence from ICR’s own donate page. No other companies from the provided list had explicit evidence linking them to Institute for Creation Research."
"Intentional Disciple Making Church Movement","Paul Jeyachandran","idmc.church","https://www.linkedin.com/company/idmcmovement","11-50 employees",,"Response","Church","Donations, Charitable Giving","Donations, Charitable Giving","$1M - $5M",,,,,,"https://www.instagram.com/idmcmovement/","2266","No radio or TV programming details available for Intentional Disciple Making Church Movement","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/0QbagxG3D4DzBPfI9LyOMD"",""frequency"":null,""...","Spotify, Apple Podcasts, Youtube, Pray Com","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/making-intentional-disciples-with-rev-paul-jeyachandran/id1...","https://podcasts.apple.com/us/podcast/making-intentional-disciples-with-rev-paul-jeyachandran/id1487381703","1.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found"
"International Christian Embassy Jerusalem","Dr. Susan Michael (ICEJ)","icej.org","https://www.linkedin.com/company/icejhq","51-200 employees","The International Christian Embassy Jerusalem is a global ministry representing churches, denominations, and millions of Christians worldwide who share a love and concern for Israel and who seek to repair the historic breach between the Church and the Jewish people. We recognize the faithfulness of God to keep His ancient covenant promises to the Jewish people in the modern-day restoration of Israel. 

Our main objectives are:

1. To stand with Israel in practical expressions of support and friendship

2. To teach the Church worldwide regarding God's purposes concerning Israel and to link churches with Israel

3. To support local churches in the Holy Land

4.  To be an active channel of reconciliation between Jews, Arabs, and Christians

From our Jerusalem headquarters, the work of the Christian Embassy reaches into more than 140 countries, including established branch offices in over 70 nations worldwide. 

The ICEJ is Your Embassy in Jerusalem. Connect with us at shalom@icej.org","Response","Parachurch organization","Donations, Subscription, Transactional, Merchandise, Grants/Sponsorships","Donations, Subscription, Transactional, Merchandise, Grants/Sponsorships","$10M - $25M",,,,,"http://www.facebook.com/ICEJHQ","https://www.instagram.com/reel/DTafekYCI31/","275706251","TV","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/7jvfES6m9FgXX7rRaAbCQn"",""frequency"":null,""...","Spotify, Apple Podcasts, Google Podcasts, Youtube, Zeno Fm","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/international-christian-embassy-jerusalem/id1625316072","https://podcasts.apple.com/us/podcast/international-christian-embassy-jerusalem/id1625316072","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","After exhaustive searches of icej.org (site pages and targeted site: queries) and searches of the listed companies' official sites and web search results, I found no explicit, authoritative evidence that the International Christian Embassy Jerusalem (icej.org) is a customer/user/partner of any of the companies in the provided list. Conclusion: None found."
"International Fellowship of Christians and Jews","Yael Eckstein","ifcj.com",,,,"Response","Nonprofit","Donations, Recurring donations (Monthly), Grants, Investment income, Event/tour fees, Charitable ...","Donations, Recurring donations (Monthly), Grants, Investment income, Event/tour fees, Charitable gift annuities","$10M - $25M",,,,,"fellowshipfan","https://www.instagram.com/the_fellowship/","18500","Radio and TV","{""name"":""IFCJ"",""url"":""https://www.ifcj.org/learn/audio-library"",""frequency"":null,""marketCity"":nul...","Ifcj, Ifcj, Apple Podcasts, Spotify, Ifcj, Ifcj, Youtube","Other, Online Radio, Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/holy-land-moments/id393115983","https://podcasts.apple.com/us/podcast/holy-land-moments/id393115983","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/organizations/c3d51113-20b6-4e...","The International Fellowship of Christians and Jews (IFCJ) is a customer/user of bible.com (YouVersion/Bible App). No matches were found for the other listed companies. While searching, a podcast partnership with PRAY.COM and historical case studies with Convio, FormTitan, and Cloud9 were noted, but these vendors were not included in the user-provided list."
"InVEST USA","InVest USA","investusa.org","https://www.linkedin.com/company/invest-usa-org","11-50 employees","We Equip Police Officers With Active Shooter Vests That Save Lives

In-Vest USA is a national 501(c)(3) nonprofit organization that raises funds to distribute free bulletproof vests and equipment to first responders in communities across America.

We will not stop until every law enforcement officer in America is provided a free personal active shooter vest.","Response","Nonprofit","Donations, Grants, Merchandise Sales","Donations, Grants, Merchandise Sales","$1M - $5M",,,,,"http://www.facebook.com/investusa","https://www.instagram.com/investusa_org/","231000","Both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/the-michael-letts-show/id18...","Apple Podcasts, Spotify, Crn Digital Talk Radio Crn1, Youtube, Kmet, Kbnp","Podcast Directory, Streaming Platform, Online Radio, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-michael-letts-show/id1803847986","https://podcasts.apple.com/us/podcast/the-michael-letts-show/id1803847986","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","[{""matchedCompany"": ""None found""}]"
"Isaiah 61:3 Ministries Inc.","Michele Jackson","michelejackson.com",,,,"Response","Parachurch organization","Donations, Transactional, Affiliate/Referral, Advertising/Sponsorship","Donations, Transactional, Affiliate/Referral, Advertising/Sponsorship",,,,,,,"https://www.instagram.com/michaeljackson/","11323674","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/free-indeed-with-isaiah-61-...","Apple Podcasts, Podbean, Podbean App, Spotify, Youtube, Youtube","Podcast Directory, Streaming Platform, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/free-indeed-with-isaiah-61-ministry/id1819107761","https://podcasts.apple.com/us/podcast/free-indeed-with-isaiah-61-ministry/id1819107761","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found"
"JD Greear Ministries","J.D. Greear","jdgreear.com","https://www.linkedin.com/company/jd-greear-ministries",,,"Response","Media Ministry","Donations (one-time and recurring), Product sales (books/digital resources), Broadcasting/media r...","Donations (one-time and recurring), Product sales (books/digital resources), Broadcasting/media revenue (rev-share/licensing)",,,,,,"http://www.facebook.com/pastorgreear","https://www.instagram.com/pastorjdgreear/","36900","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/summit-life-with-j-d-greear...","Apple Podcasts, Spotify, Youtube, Amazon Audible, Iheartradio Prayradio, Zfb, Wdru","Podcast Directory, Streaming Platform, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/summit-life-with-j-d-greear/id723921422","https://podcasts.apple.com/us/podcast/summit-life-with-j-d-greear/id723921422","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit evidence was found that JD Greear Ministries (domain: jdgreear.com) is a customer, partner, or user of any company in the provided list. The strongest related finding was an author/content page on RightNow Media showing J.D. Greear as a content contributor, but this does not explicitly state a customer/partner relationship for J.D. Greear Ministries or jdgreear.com. Therefore, no matches were found according to the specified criteria."
"Jordan Brice Ministries","Jordan Brice","jordanbriceministries.com",,,,"Response","Church","Donations (one-time and recurring), Transactional (speaking/honoraria)","Donations (one-time and recurring), Transactional (speaking/honoraria)",,,,,,,,,"Both","{""name"":""YouTube"",""url"":""https://www.youtube.com/@prophetjordanbrice"",""frequency"":null,""marketCit...","Youtube, Pray Com, Iheart Podcasts, Omny Fm, Apple Podcasts, Libsyn, Spotify","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/br/podcast/apostle-jordan-brice/id1757998630","https://podcasts.apple.com/br/podcast/apostle-jordan-brice/id1757998630","0.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","After a thorough investigation of Jordan Brice Ministries' public web presence and credible third-party pages, no explicit evidence was found to indicate that Jordan Brice Ministries is a customer or user of any of the specified companies (youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, ytatv.com, tbn.org). Therefore, the result is 'None found'."
"Juanita Bynum","Juanita Bynum","juanitabynum.com","https://www.linkedin.com/company/juanita-bynum-ministries","11-50 employees","Juanita Bynum Ministries is a marketing and advertising company based out of PO Box 358, West Hempstead, NY, United States.","Response","Media Ministry","Transactional (one-time product/course sales), Donations, Ticketing/Event sales, E-commerce/Merch...","Transactional (one-time product/course sales), Donations, Ticketing/Event sales, E-commerce/Merchandise, Paid services/Booking","$1M - $5M",,,,,"http://www.facebook.com/drjbynum2","https://www.instagram.com/iamdrjuanitabynum/","305000","TV and Radio","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/1INeYEEEmjhBp1jtt5r8Va"",""frequency"":null,""...","Spotify, Apple Podcasts, Amazon Music, Audioboom, Tunein, Iheart, Youtube","Streaming Platform, Podcast Directory, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-juanita-bynum-prayer-institute/id1446527874","https://podcasts.apple.com/us/podcast/the-juanita-bynum-prayer-institute/id1446527874","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit evidence was found that Juanita Bynum (juanitabynum.com) is a customer or user of any of the listed companies."
"Kingdom Broker","Eric Skeldon","kingdombroker.com","https://www.linkedin.com/company/kingdom-broker","2-10 employees","Kingdom Broker is a company that is passionate about connecting business owners. Our mission is to serve as the premier source for positive cash flow values-based and impact-driven e-commerce, SaaS companies, and various other service-based businesses.","Response","Agency","Commission, Listing fees, Retainer/Consulting fees","Commission, Listing fees, Retainer/Consulting fees","$5M - $10M",,,,,,"https://www.instagram.com/kingdombrokers/","132","None","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/14MuG4p2r3PGgRtMDXFduK"",""frequency"":null,""...","Spotify, Youtube, Apple Podcasts, Amazon Music, Audible","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-divine-advantage-podcast/id1711449922","https://podcasts.apple.com/us/podcast/the-divine-advantage-podcast/id1711449922","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}",""
"Kingdom Full Tabernacle","Apostle Dominic & Prophetess Lesley Osei","kftchurch.com","https://www.linkedin.com/company/kft-church","201-500 employees","Kingdom Full Tabernacle International Ministries is a Bible believing Church Headquartered in Stamford Connecticut. We have the mandate from God to manifest the Kingdom of God on earth. KFT is a determinedly Christian church. It is built upon the person of Jesus Christ, the Son of God. The doctrines and practices of the church are based upon His teachings.","Response","Church","Donations (one-time and recurring), Transactional (event registration, product sales)","Donations (one-time and recurring), Transactional (event registration, product sales)","$25M - $50M","Apostle Dominic Osei",,,,,"https://www.instagram.com/kingdomfulltabernacle/","55000","No radio or TV programming details available for Kingdom Full Tabernacle","{""name"":""YouTube"",""url"":""https://www.youtube.com/@kingdomfulltabernacle"",""frequency"":null,""market...","Youtube, Facebook, Podbean, Apple Podcasts, Spotify, Instagram","Streaming Platform, Podcast Directory, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/kft-church-podcast/id1512104947","https://podcasts.apple.com/us/podcast/kft-church-podcast/id1512104947","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched the target domain (kftchurch.com) and credible vendor/third-party pages to find explicit, authoritative evidence that Kingdom Full Tabernacle (kftchurch.com) is a customer/user of any company from the provided list. I inspected the canonical site and the specified pages, ran site-level searches for each vendor name on the target site, and searched listed vendor sites for any mention of Kingdom Full Tabernacle / kftchurch. The target site’s Give page explicitly states the church uses Tithely for online giving (Tithely is not on the provided vendor list). I found no explicit statements, logo listings, case studies, testimonials, partner pages, press releases, or other authoritative pages on kftchurch.com or on the vendor sites that explicitly associate Kingdom Full Tabernacle (or kftchurch.com) with any of the companies in the provided list (youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, ytatv.com, tbn.org). Therefore, based on explicit publicly-available evidence, the correct extraction is: None found. Steps taken (summary): 1) Started at canonical domain https://www.kftchurch.com and fetched key pages: / (home), /give, /about, /virtual-family, /news. 2) On-site inspection for explicit vendor mentions on those pages and searched the site for vendor name strings (e.g., site:kftchurch.com ""youversion"", site:kftchurch.com ""pushpay"", etc.). 3) Searched vendor sites and general web for direct mentions of ""Kingdom Full Tabernacle"" or ""kftchurch"" (e.g., site:pushpay.com ""Kingdom Full Tabernacle"", site:youversion.com ""Kingdom Full Tabernacle""). 4) Compiled authoritative evidence found on the target site and evaluated for explicit matches to the provided vendor list. Conclusion: None of the listed companies appear as customers/partners/users of Kingdom Full Tabernacle (kftchurch.com) in any explicit, authoritative public statement or listing. The target site does state use of Tithely for giving, which is outside the vendor list. If you want, I can now produce the final JSON extraction output required by your instructions (either a 'None found' item or the matched items if anything should be found)."
